Order,Topic,Pages
1,Variables,3
2,Lists,3
3,Functions,3
4,While-Loop,3
5,Methods,3
6,Match-case,2
7,For-loop,2
8,Type-conversion,2
9,List Indices,2
10,Tuples,2
11,Enumerate,2
12,F-Strings,2
13,"Write Text Files, Read Text Files",3
14,File Paths,2
15,List Comprehensions,2
16,Comments,2
17,With-Context Manager,2
18,"If, Elif, Else and Conditionals",3
19,Slicing,2
20,Dictionaries,2
21,Try-Except and Exceptions,2
22,Continue Statement,2
23,Custom Functions,4
24,Functions Arguments,2
25,"Function Arguments (Optional/Keyword)",2
26,Scope,2
27,Global Keyword,2
28,Lambda Functions,2
29,Decorators,3
30,Classes/Objects,4
31,Class Variables and Instance Variables,2
32,Methods in Classes,2
33,Inheritance,2
34,Polymorphism,2
35,"OOP Principles (Abstraction, Encapsulation)",2
36,Module and Pip,3
37,Virtual Environments,2
38,Docstrings,2
39,Testing,2
40,Logging,3
41,Error Handling,2
42,Data Structures,4
43,Algorithms,4
44,Big O Notation,3
45,Searching Algorithms,3
46,Sorting Algorithms,4
47,Recursion,4
48,Generators and Iterators,3
49,"Concurrency (Threading, Multiprocessing)",4
50,Web Scraping,5
51,Working with APIs,5
52,"Databases (SQL)",4
53,Working with JSON,3
54,Regular Expressions,3
55,Python Standard Library,3
56,Project Structure,2
57,Unit Testing,3
58,Deployment,3
59,Best Practices,2
